POLEA ROJA 4 PUL,813.6,712
MACHETE FERRAWYY 16 PULG,190,168
DESTORCEDOR P/CADENA 1/4,76.3,65.32
DESTORCEDOR P/CADENA 5/16,89,76.7
INSECTICIDA SPS,118.6,100
COQUI,10.17,8.33
TAPA METAL NOK  2X4 A 1/2,17,14
VASTAGO NICO URREA CORTO,220.33,190
LLAVE BOLA ITALY ORIG 1/2,262.7,225
LLAVE BOLA ITALY ORIG 3/4,381.4,330
BROCA PLANA P/MA 1 1/4,85,73
CONTRACTO ESMALT NARANJA 1/4,335,357
CONTRACTO ESMALT BLANC HUE 1/4,335,357
CONTRACTO ESMALT BLANC 00 1/4,335,357
CONTRACTO ESMALT AMARILLO CAN 1/4,335,357
CONTRACTO ESMALT LIMONCILLO1/4,335,357
CONTRACTO ESMALT NEG 1/4,335,357
CONTRACTO ESMALT AZUL ROYAL 1/4,335,357
LIMPIADOR DE CONTACTO 300ML WURTH,305,265
MANOMETRO BOMBA AZUL BRADY,102,85
LIJA ESMERIL TRUP 100,42.37,37
CALIBRADOR PRET 20182,118.64,103
REPUESTO NIVEL,33.9,28.3
BROCHA ATLAS 3/4,46.61,40
SELLADOR IMPERM CUB,1865,1850
MACETA GOMA VERDE,161,144
BARRENA TACTIX MET 5/16,42.4,34
DISCO PULIR 4 1/2  METABO,136,120
PEGATANQUE ORIG,339,305
CAJA REGISTRO METAL 6X6X4,140,120
CAJA REGISTRO METAL 8X8X4,229,208
PINZA TIERRA SOLDAR 10FT,610.2,540
CEPILLO COPA CENT 3X 5/8 TRENZ,424,372
DISCO SIERRA CENT 4 1/2,225,194.68
SILICON URETHANO WEST,263,230
PLOMO PESCAR,12.7,10
REGLETA SENALEC 8 ENT,398.31,348
SOLDADURA ALUMINIO CODIG,27.12,22
BREAKER EUROPEO 2P/32 AMP,202,176
SOLDADURA INOX 3/32,466,425
DISCO CORTE METABO 14´´,487.3,425
JUEGO LLAVE ALLEN TOTAL,195,164
PVC TUBO CORVI 1/2 PRES,335,305
PVC TUBO CORVI 1/2 ELECT,127,120
ABRAZADERA MUFFLER 1 1/2,85,70.6
ABRAZADERA MUFFLER 1 3/4,93.22,77
ABRAZADERA MUFFLER 2,97.5,85
GANCHO S 2 3/4 MET,28.8,24
CANDADO ABUS 40B,517,435
CANDADO ABUS 50B,788.14,665
BOMBILLO ESP TOSCHI 7W,118.64,100
TEFLON AZUL,8.5,5.09
